DeviceName,Brand,technology,gprs,edge,announced,status,dimensions,weight,sim,size,card_slot,battery,stand_by_hours,talk_time_hours,cpu,internal_memory_mb,os,primary_camera_mp
Acer X960,Acer,GSM / UMTS,Class 10,Class 10,"2009, February. Released 2009, April",Discontinued,106.4 x 59 x 13.7 mm (4.19 x 2.32 x 0.54 in),131.5 g (4.62 oz),Mini-SIM,2.8 inches (~38.7% screen-to-body ratio),"microSD, 8192",Removable Li-Po 1530 mAh battery,245,4,533 MHz Samsung S3C 6410,128,Microsoft Windows Mobile 6.1 Professional,3.15
Acer F900,Acer,GSM / HSPA,Class 10,Class 10,"2009, February. Released 2009, June",Discontinued,117.5 x 63.5 x 15.8 mm (4.63 x 2.5 x 0.62 in),150 g (5.29 oz),Mini-SIM,3.8 inches (~55.1% screen-to-body ratio),microSD,Removable Li-Ion 1530 mAh battery,150,4,533 MHz Samsung S3C 6410,128,Microsoft Windows Mobile 6.1 Professional,3.15
Acer DX900,Acer,GSM / HSPA,Class 10,Class 10,"2009, February. Released 2009, April",Discontinued,106 x 60.5 x 17 mm (4.17 x 2.38 x 0.67 in),147 g (5.19 oz),Dual SIM (Mini-SIM),2.8 inches (~37.9% screen-to-body ratio),microSD,Removable Li-Po 1530 mAh battery,150,10,533 MHz Samsung S3C 6410,128,Microsoft Windows Mobile 6.1 Professional,3.15
Acer M900,Acer,GSM / HSPA,Class 10,Class 10,"2009, February. Released 2009, June",Discontinued,119 x 62 x 17.1 mm (4.69 x 2.44 x 0.67 in),188 g (6.63 oz),Mini-SIM,3.8 inches (~55.7% screen-to-body ratio),microSD,Removable Li-Ion 1530 mAh battery,470,4,533 MHz Samsung S3C 6410,,Microsoft Windows Mobile 6.1 Professional,5
Acer DX650,Acer,GSM,Class 10,Class 10,"2009, June. Released 2009, June",Discontinued,109.6 x 59 x 15.6 mm (4.31 x 2.32 x 0.61 in),133 g (4.69 oz),Mini-SIM,2.8 inches (~37.5% screen-to-body ratio),microSD,Removable Li-Ion 1260 mAh battery,150,4,Samsung S3C 6410 533 MHz,,Microsoft Windows Mobile 6.1 Professional,2
Acer neoTouch,Acer,GSM / HSPA,Class 10,Class 10,"2009, October. Released 2009, October",Discontinued,118.6 x 63 x 12 mm (4.67 x 2.48 x 0.47 in),130 g (4.59 oz),Mini-SIM,3.8 inches (~55.0% screen-to-body ratio),"microSD, 32 GB",Removable Li-Po 1350 mAh battery,400,5,1.0 GHz Scorpion,256,Microsoft Windows Mobile 6.5 Professional,5
Acer beTouch E100,Acer,GSM / HSPA,Class 10,Class 10,"2009, October. Released 2009, October",Discontinued,113 x 56 x 12.8 mm (4.45 x 2.20 x 0.50 in),118 g (4.16 oz),Mini-SIM,3.2 inches (~46.1% screen-to-body ratio),microSD,Removable Li-Ion 1140 mAh battery,400,5,528 MHz ARM 11,256,Microsoft Windows Mobile 6.5 Professional,2
Acer beTouch E101,Acer,GSM,Class 10,Class 10,"2009, October. Released 2009, October",Discontinued,113 x 56 x 12.8 mm (4.45 x 2.20 x 0.50 in),118 g (4.16 oz),Mini-SIM,3.2 inches (~46.1% screen-to-body ratio),microSD,Removable Li-Ion 1140 mAh battery,400,5,528 MHz ARM 11,256,Microsoft Windows Mobile 6.5 Professional,2
Acer beTouch E200,Acer,GSM / HSPA,Class 10,Class 10,"2009, October. Released 2009, October",Discontinued,110 x 53.5 x 15.4 mm (4.33 x 2.11 x 0.61 in),146 g (5.15 oz),Mini-SIM,3.0 inches (~43.5% screen-to-body ratio),microSD,Removable Li-Ion 1140 mAh battery,400,5,528 MHz ARM 11,256,Microsoft Windows Mobile 6.5 Professional,3.15
Acer Liquid,Acer,GSM / HSPA,Class 10,Class 10,"2009, October. Released 2009, December",Discontinued,115 x 62.5 x 12.5 mm (4.53 x 2.46 x 0.49 in),135 g (4.76 oz),Mini-SIM,3.5 inches (~48.5% screen-to-body ratio),"microSD, 32 GB",Removable Li-Ion 1350 mAh battery,400,5,768 MHz Scorpion,256,"Android OS, v1.6 (Donut)",5
Acer beTouch E110,Acer,GSM / HSPA,Class 10,Class 10,"2010, February","Available. Released 2010, March",103.5 x 54 x 13.4 mm (4.07 x 2.13 x 0.53 in),105 g (3.70 oz),Mini-SIM,2.8 inches (~43.4% screen-to-body ratio),microSD,Removable Li-Ion 1500 mAh battery,,,ST Ericsson PNX6715 416MHz,256,"Android OS, v1.5 (Cupcake)",3.15
Acer neoTouch P300,Acer,GSM / HSPA,Class 10,Class 10,"2010, February","Available. Released 2010, Q2",110 x 55 x 15.1 mm (4.33 x 2.17 x 0.59 in),130.6g (4.59 oz),Mini-SIM,3.2 inches (~48.2% screen-to-body ratio),microSD,Removable Li-Po 970 mAh battery,400,4,528 MHz ARM 11,256,Microsoft Windows Mobile 6.5.3,3.15
Acer neoTouch P400,Acer,GSM / HSPA,Class 10,Class 10,"2010, February","Available. Released 2010, May",115 x 59.3 x 12 mm (4.53 x 2.33 x 0.47 in),125 g (4.41 oz),Mini-SIM,3.2 inches (~44.7% screen-to-body ratio),microSD,Removable Li-Po 1090 mAh battery,400,5,600 MHz ARM 11,256,Microsoft Windows Mobile 6.5.3 Professional,3.15
Acer beTouch E400,Acer,GSM / HSPA,Class 10,Class 10,"2010, February","Available. Released 2010, April",115 x 59.3 x 12 mm (4.53 x 2.33 x 0.47 in),125 g (4.41 oz),Mini-SIM,3.2 inches (~44.7% screen-to-body ratio),microSD,Removable Li-Po 1090 mAh battery,400,5,600 MHz ARM 11,256,"Android OS, v2.1 (Eclair)",3.15
Acer Liquid E,Acer,GSM / HSPA,Class 10,Class 10,"2010, February","Available. Released 2010, August",115 x 62.5 x 12.5 mm (4.53 x 2.46 x 0.49 in),135 g (4.76 oz),Mini-SIM,3.5 inches (~48.5% screen-to-body ratio),"microSD, 32 GB",Removable Li-Ion 1350 mAh battery,400,5,768 MHz Scorpion,512,"Android OS, v2.1 (Eclair), upgradeable to Android v2.2 (Froyo)",5
Acer Stream,Acer,GSM / HSPA,Class 10,Class 10,"2010, May","Available. Released 2010, August",119.5 x 63 x 11.2 mm (4.70 x 2.48 x 0.44 in),140 g (4.94 oz),Mini-SIM,3.7 inches (~51.8% screen-to-body ratio),"microSD, 32 GB, 8192 included",Removable Li-Ion 1400 mAh battery,400,5,1.0 GHz Scorpion,2048,"Android OS, v2.1 (Eclair)",5
Acer beTouch E130,Acer,GSM / HSPA,Class 10,Class 10,"2010, June","Available. Released 2010, August",115 x 62.5 x 11.5 mm (4.53 x 2.46 x 0.45 in),109 g (3.84 oz),Mini-SIM,2.6 inches (~29.1% screen-to-body ratio),"microSD, 32 GB",Removable Li-Ion 1500 mAh battery,600,6,416 MHz,256,"Android OS, v1.6 (Donut)",3.15
Acer beTouch E120,Acer,GSM / HSPA,Class 10,Class 10,"2010, June","Available. Released 2010, Q3",104.5 x 54 x 13.2 mm (4.11 x 2.13 x 0.52 in),105 g (3.70 oz),Mini-SIM,2.8 inches (~43.0% screen-to-body ratio),"microSD, 32 GB",Removable Li-Ion 1500 mAh battery,600,6,"ST Ericsson PNX6715, 416 MHz",256,"Android OS, v1.6 (Donut)",3.15
ZTE Racer,ZTE,GSM / HSPA,Yes,Yes,"2010, July","Available. Released 2010, July",102 x 55 x 14.5 mm (4.02 x 2.17 x 0.57 in),100 g (3.53 oz),Mini-SIM,2.8 inches (~43.3% screen-to-body ratio),"microSD, 8192",Removable Li-Ion 1100 mAh battery,200,3,600 MHz ARM 11,256,"Android OS, v2.1 (Eclair)",3.15
Acer Liquid mt,Acer,GSM / HSPA,Yes,Yes,"2010, October","Available. Released 2010, November",115 x 63 x 13.5 mm (4.53 x 2.48 x 0.53 in),135 g (4.76 oz),Mini-SIM,3.6 inches (~50.9% screen-to-body ratio),"microSD, 32 GB",Removable Li-Ion 1500 mAh battery,450,11,800 MHz Scorpion,512,"Android OS, v2.2 (Froyo)",5
Acer beTouch T500,Acer,GSM,Class 10,Class 10,"2010, October","Available. Released 2010, Q4",118.5 x 58 x 13.5 mm (4.67 x 2.28 x 0.53 in),130 g (4.59 oz),Mini-SIM,3.2 inches (~44.4% screen-to-body ratio),"microSD, 32 GB",Removable Li-Ion 1500 mAh battery,,,,256,Android-based OPhone OS v1.5,3.15
Acer Iconia Smart,Acer,GSM / HSPA,Yes,Yes,"2011, February","Available. Released 2011, August",141.7 x 64.5 x 13.6 mm (5.58 x 2.54 x 0.54 in),185 g (6.53 oz),Mini-SIM,4.8 inches (~62.5% screen-to-body ratio),"microSD, 32 GB",Removable Li-Po 1500 mAh battery,450,11,1.0 GHz Scorpion,8192,"Android OS, v2.3 (Gingerbread)",8
Acer beTouch E140,Acer,GSM / HSPA,Yes,Yes,"2010, December","Available. Released 2010, December",104.5 x 55.8 x 12.8 mm (4.11 x 2.20 x 0.50 in),95 g (3.35 oz),Mini-SIM,2.8 inches (~41.6% screen-to-body ratio),"microSD, 32 GB",Removable Li-Ion 1300 mAh battery,400,6,600 MHz ARM 11,256,"Android OS, v2.2 (Froyo)",3.15
Acer Liquid mini E310,Acer,GSM / HSPA,Yes,Yes,"2011, January","Available. Released 2011, April",110.4 x 57.5 x 13 mm (4.35 x 2.26 x 0.51 in),108 g (3.81 oz),Mini-SIM,3.2 inches (~48.0% screen-to-body ratio),"microSD, 32 GB, 2 GB included",Removable Li-Ion 1300 mAh battery,400,8,600 MHz ARM 11,512,"Android OS, v2.2 (Froyo), upgradable to v2.3 (Gingerbread)",5
Acer beTouch E210,Acer,GSM / HSPA,Yes,Yes,"2011, January","Available. Released 2011, Q2",116 x 63 x 12 mm (4.57 x 2.48 x 0.47 in),109 g (3.84 oz),Mini-SIM,2.6 inches (~28.6% screen-to-body ratio),"microSD, 32 GB",Removable Li-Ion 1300 mAh battery,,,600 MHz ARM 11,256,"Android OS, v2.2 (Froyo)",3.15
Acer Iconia Tab A100,Acer,No cellular connectivity,No,No,"2011, February","Available. Released 2011, April",195 x 117 x 13.1 mm (7.68 x 4.61 x 0.52 in),450 g (0.99 lb),No,7.0 inches (~60.4% screen-to-body ratio),"microSD, 32 GB",Non-removable Li-Po 1530 mAh battery,,,Dual-core 1.0 GHz Cortex-A9,8192,"Android OS, v3.0, v3.2, planned upgrade to v4.0  (Ice Cream Sandwich)",5
